s_no,state,district,block_name,categorization
1,ANDAMAN AND NICOBAR ISLANDS,N & M ANDAMAN,DIGLIPUR,safe
2,ANDAMAN AND NICOBAR ISLANDS,N & M ANDAMAN,MAYABUNDER,safe
3,ANDAMAN AND NICOBAR ISLANDS,N & M ANDAMAN,RANGAT,safe
4,ANDAMAN AND NICOBAR ISLANDS,NICOBAR,CAR NICOBAR,safe
5,ANDAMAN AND NICOBAR ISLANDS,NICOBAR,GREAT NICOBAR,safe
6,ANDAMAN AND NICOBAR ISLANDS,NICOBAR,NANCOWRY,safe
7,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMAN,FERRARGANJ,safe
8,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMAN,LITTLE ANDAMAN,safe
9,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMAN,PORT BLAIR,safe
10,ANDHRA PRADESH,Alluri Sitharama Raju,ADDATEEGALA,safe
11,ANDHRA PRADESH,Alluri Sitharama Raju,ANANTHAGIRI,safe
12,ANDHRA PRADESH,Alluri Sitharama Raju,ARAKU VALLEY,safe
13,ANDHRA PRADESH,Alluri Sitharama Raju,CHINTAPALLE,safe
14,ANDHRA PRADESH,Alluri Sitharama Raju,CHINTUR,safe
15,ANDHRA PRADESH,Alluri Sitharama Raju,DEVIPATNAM,safe
16,ANDHRA PRADESH,Alluri Sitharama Raju,DUMBRIGUDA,safe
17,ANDHRA PRADESH,Alluri Sitharama Raju,GANGARAJU MADUGULA,safe
18,ANDHRA PRADESH,Alluri Sitharama Raju,GANGAVARAM (EAST GODAVARI),safe
19,ANDHRA PRADESH,Alluri Sitharama Raju,GUDEM KOTHAVEEDHI,safe
20,ANDHRA PRADESH,Alluri Sitharama Raju,HUKUMPETA,safe
21,ANDHRA PRADESH,Alluri Sitharama Raju,KOYYURU,safe
22,ANDHRA PRADESH,Alluri Sitharama Raju,KUNAVARAM,safe
23,ANDHRA PRADESH,Alluri Sitharama Raju,MAREDUMILLI,safe
24,ANDHRA PRADESH,Alluri Sitharama Raju,MUNCHINGIPUTTU,safe
25,ANDHRA PRADESH,Alluri Sitharama Raju,NELLIPAKA,safe
26,ANDHRA PRADESH,Alluri Sitharama Raju,PADERU,safe
27,ANDHRA PRADESH,Alluri Sitharama Raju,PEDABAYALU,safe
28,ANDHRA PRADESH,Alluri Sitharama Raju,RAJAVOMMANGI,safe
29,ANDHRA PRADESH,Alluri Sitharama Raju,RAMPACHODAVARAM,safe
30,ANDHRA PRADESH,Alluri Sitharama Raju,VARARAMACHANDRAPUR,safe
31,ANDHRA PRADESH,Alluri Sitharama Raju,Y RAMAVARAM,safe
32,ANDHRA PRADESH,Anakapalli,ANAKAPALLE,safe
33,ANDHRA PRADESH,Anakapalli,ATCHUTAPURAM,safe
34,ANDHRA PRADESH,Anakapalli,BUTCHAYYAPETA,safe
35,ANDHRA PRADESH,Anakapalli,CHEEDIKADA,safe
36,ANDHRA PRADESH,Anakapalli,CHODAVARAM,safe
37,ANDHRA PRADESH,Anakapalli,DEVARAPALLE (ANAKAPALLI),safe
38,ANDHRA PRADESH,Anakapalli,GOLUGONDA,safe
39,ANDHRA PRADESH,Anakapalli,K KOTAPADU,safe
40,ANDHRA PRADESH,Anakapalli,KASIMKOTA,safe
41,ANDHRA PRADESH,Anakapalli,KOTAURATLA,safe
42,ANDHRA PRADESH,Anakapalli,MADUGULA,safe
43,ANDHRA PRADESH,Anakapalli,MAKAVARAPALEM,safe
44,ANDHRA PRADESH,Anakapalli,MUNAGAPAKA,safe
45,ANDHRA PRADESH,Anakapalli,NAKKAPALLE,safe
46,ANDHRA PRADESH,Anakapalli,NARSIPATNAM,safe
47,ANDHRA PRADESH,Anakapalli,NATHAVARAM,safe
48,ANDHRA PRADESH,Anakapalli,PARAVADA,safe
49,ANDHRA PRADESH,Anakapalli,PAYAKARAOPETA,safe
50,ANDHRA PRADESH,Anakapalli,RAMBILLI,safe
51,ANDHRA PRADESH,Anakapalli,RAVIKAMATHAM,safe
52,ANDHRA PRADESH,Anakapalli,ROLUGUNTA,safe
53,ANDHRA PRADESH,Anakapalli,S RAYAVARAM,safe
54,ANDHRA PRADESH,Anakapalli,SABBAVARAM,safe
55,ANDHRA PRADESH,Anakapalli,YELAMANCHILI (ANAKAPALLI),safe
56,ANDHRA PRADESH,Ananthapuramu,ANANTAPUR RURAL,safe
57,ANDHRA PRADESH,Ananthapuramu,ANANTAPUR URBAN,safe
58,ANDHRA PRADESH,Ananthapuramu,ATMAKUR,safe
59,ANDHRA PRADESH,Ananthapuramu,BELUGUPPA,safe
60,ANDHRA PRADESH,Ananthapuramu,BOMMANAHAL,safe
61,ANDHRA PRADESH,Ananthapuramu,BRAHMASAMUDRAM,safe
62,ANDHRA PRADESH,Ananthapuramu,BUKKARAYASAMUDRAM,safe
63,ANDHRA PRADESH,Ananthapuramu,D HIRCHAL,safe
64,ANDHRA PRADESH,Ananthapuramu,GARLADINNE,safe
65,ANDHRA PRADESH,Ananthapuramu,GOOTY,safe
66,ANDHRA PRADESH,Ananthapuramu,GUMMAGATTA,safe
67,ANDHRA PRADESH,Ananthapuramu,GUNTAKAL,safe
68,ANDHRA PRADESH,Ananthapuramu,KALYANDURG,safe
69,ANDHRA PRADESH,Ananthapuramu,KAMBADUR,safe
70,ANDHRA PRADESH,Ananthapuramu,KANEKAL,safe
71,ANDHRA PRADESH,Ananthapuramu,KUDAIR,safe
72,ANDHRA PRADESH,Ananthapuramu,KUNDURPI,safe
73,ANDHRA PRADESH,Ananthapuramu,NARPALA,semi_critical
74,ANDHRA PRADESH,Ananthapuramu,PAMIDI,safe
75,ANDHRA PRADESH,Ananthapuramu,PEDDAPAPPUR,safe
76,ANDHRA PRADESH,Ananthapuramu,PEDDAVADUGUR,safe
77,ANDHRA PRADESH,Ananthapuramu,PUTLUR,safe
78,ANDHRA PRADESH,Ananthapuramu,RAPTADU,safe
79,ANDHRA PRADESH,Ananthapuramu,RAYADURG,safe
80,ANDHRA PRADESH,Ananthapuramu,SETTUR,safe
81,ANDHRA PRADESH,Ananthapuramu,SINGANAMALA,safe
82,ANDHRA PRADESH,Ananthapuramu,TADPATRI,safe
83,ANDHRA PRADESH,Ananthapuramu,URAVAKONDA,safe
84,ANDHRA PRADESH,Ananthapuramu,VAJRAKARUR,safe
85,ANDHRA PRADESH,Ananthapuramu,VIDAPANAKAL,safe
86,ANDHRA PRADESH,Ananthapuramu,YADIKI,safe
87,ANDHRA PRADESH,Ananthapuramu,YELLANUR,safe
88,ANDHRA PRADESH,Annamayya,B KOTHAKOTA,safe
89,ANDHRA PRADESH,Annamayya,CHINNAMANDEM,semi_critical
90,ANDHRA PRADESH,Annamayya,CHITVEL,safe
91,ANDHRA PRADESH,Annamayya,GALIVEEDU,safe
92,ANDHRA PRADESH,Annamayya,GURRAMKONDA,safe
93,ANDHRA PRADESH,Annamayya,KALAKADA,safe
94,ANDHRA PRADESH,Annamayya,KALIKIRI,safe
95,ANDHRA PRADESH,Annamayya,KAMBHAMVARIPALLE,safe
96,ANDHRA PRADESH,Annamayya,KODUR,safe
97,ANDHRA PRADESH,Annamayya,KURABALAKOTA,safe
98,ANDHRA PRADESH,Annamayya,LAKKIREDDIPALLE,safe
99,ANDHRA PRADESH,Annamayya,MANDAPALLE,safe
100,ANDHRA PRADESH,Annamayya,MULAKALACHERUVU,safe
101,ANDHRA PRADESH,Annamayya,NANDALUR,safe
102,ANDHRA PRADESH,Annamayya,NIMMANAPALLE,safe
103,ANDHRA PRADESH,Annamayya,OBULAVARIPALLE,safe
104,ANDHRA PRADESH,Annamayya,PEDDAMANDYAM,safe
105,ANDHRA PRADESH,Annamayya,PEDDATHIPPASAMUDRA,safe
106,ANDHRA PRADESH,Annamayya,PENAGALURU,safe
107,ANDHRA PRADESH,Annamayya,PILERU,safe
108,ANDHRA PRADESH,Annamayya,PULLAMPETA,safe
109,ANDHRA PRADESH,Annamayya,RAJAMPET,safe
110,ANDHRA PRADESH,Annamayya,RAMAPURAM,safe
111,ANDHRA PRADESH,Annamayya,RAMASAMUDRAM,safe
112,ANDHRA PRADESH,Annamayya,ROYACHOTI,safe
113,ANDHRA PRADESH,Annamayya,SAMBEPALLE,safe
114,ANDHRA PRADESH,Annamayya,T SUNDUPALLE,safe
115,ANDHRA PRADESH,Annamayya,THAMBALLAPALLE,safe
116,ANDHRA PRADESH,Annamayya,VALMIKIPURAM,safe
117,ANDHRA PRADESH,Annamayya,VEERABALLE,safe
118,ANDHRA PRADESH,Bapatla,ADDANKI,safe
119,ANDHRA PRADESH,Bapatla,AMRUTHALUR,safe
120,ANDHRA PRADESH,Bapatla,BALLIKURUVA,safe
121,ANDHRA PRADESH,Bapatla,BAPATLA,safe
122,ANDHRA PRADESH,Bapatla,BHATTIPROLU,safe
123,ANDHRA PRADESH,Bapatla,CHERUKUPALLE,safe
124,ANDHRA PRADESH,Bapatla,CHINAGANJAM,safe
125,ANDHRA PRADESH,Bapatla,CHIRALA,safe
126,ANDHRA PRADESH,Bapatla,INKOLLU,safe
127,ANDHRA PRADESH,Bapatla,JANAKAVARAMPANGULU,safe
129,ANDHRA PRADESH,Bapatla,KARLAPALEM,safe
130,ANDHRA PRADESH,Bapatla,KOLLUR,safe
131,ANDHRA PRADESH,Bapatla,KORISAPADU,safe
132,ANDHRA PRADESH,Bapatla,MARTUR,safe
133,ANDHRA PRADESH,Bapatla,NAGARAM,safe
134,ANDHRA PRADESH,Bapatla,NIZAMPATNAM,safe
135,ANDHRA PRADESH,Bapatla,PARCHUR,safe
136,ANDHRA PRADESH,Bapatla,PITTALAVANIPALEM,safe
137,ANDHRA PRADESH,Bapatla,REPALLE,safe
138,ANDHRA PRADESH,Bapatla,SANTHAMAGULURU,safe
139,ANDHRA PRADESH,Bapatla,TSUNDUR,safe
140,ANDHRA PRADESH,Bapatla,VEMURU,safe
141,ANDHRA PRADESH,Bapatla,VETAPALEM,safe
142,ANDHRA PRADESH,Bapatla,YEDDANAPUDI,safe
143,ANDHRA PRADESH,Chittoor,BAIREDDI PALLE,safe
144,ANDHRA PRADESH,Chittoor,BANGARUPALEM,safe
145,ANDHRA PRADESH,Chittoor,CHITTOOR MANDAL,semi_critical
146,ANDHRA PRADESH,Chittoor,CHOWDEPALLE,semi_critical
147,ANDHRA PRADESH,Chittoor,GANGADHARA NELLORE,safe
148,ANDHRA PRADESH,Chittoor,GANGAVARAM,safe
149,ANDHRA PRADESH,Chittoor,GUDI PALLE,semi_critical
150,ANDHRA PRADESH,Chittoor,GUDIPALA,safe
151,ANDHRA PRADESH,Chittoor,IRALA,safe
152,ANDHRA PRADESH,Chittoor,KARVETINAGAR,safe
153,ANDHRA PRADESH,Chittoor,KUPPAM,safe
154,ANDHRA PRADESH,Chittoor,NAGARI,safe
155,ANDHRA PRADESH,Chittoor,NINDRA,critical
156,ANDHRA PRADESH,Chittoor,PALAMANER,safe
157,ANDHRA PRADESH,Chittoor,PALASAMUDRAM,safe
158,ANDHRA PRADESH,Chittoor,PEDDA PANJANI,safe
159,ANDHRA PRADESH,Chittoor,PENUMURU,semi_critical
160,ANDHRA PRADESH,Chittoor,PULICHERLA,safe
161,ANDHRA PRADESH,Chittoor,PUNGANUR,safe
162,ANDHRA PRADESH,Chittoor,PUTHALAPATTU,semi_critical
163,ANDHRA PRADESH,Chittoor,RAMA KUPPAM,safe
164,ANDHRA PRADESH,Chittoor,ROMPICHERLA,safe
165,ANDHRA PRADESH,Chittoor,SANTHI PURAM,safe
166,ANDHRA PRADESH,Chittoor,SODAM,safe
167,ANDHRA PRADESH,Chittoor,SOMALA,safe
168,ANDHRA PRADESH,Chittoor,SRIRANGARAJAPURAM,safe
169,ANDHRA PRADESH,Chittoor,THAVANAMPALLE,safe
170,ANDHRA PRADESH,Chittoor,VEDURU KUPPAM,safe
171,ANDHRA PRADESH,Chittoor,VENKATAGIRI KOTA,safe
172,ANDHRA PRADESH,Chittoor,VIJAYA PURAM,safe
173,ANDHRA PRADESH,Chittoor,YADAMARI,safe
174,ANDHRA PRADESH,East Godavari,ANAPARTHI,safe
175,ANDHRA PRADESH,East Godavari,BICCAVOLU,safe
176,ANDHRA PRADESH,East Godavari,CHAGALLU,semi_critical
177,ANDHRA PRADESH,East Godavari,DEVARAPALLE,semi_critical
178,ANDHRA PRADESH,East Godavari,GOKAVARAM,safe
179,ANDHRA PRADESH,East Godavari,GOPALAPURAM,safe
180,ANDHRA PRADESH,East Godavari,KADIAM,safe
181,ANDHRA PRADESH,East Godavari,KORUKONDA,safe
182,ANDHRA PRADESH,East Godavari,KOVVUR,safe
183,ANDHRA PRADESH,East Godavari,NALLAJERLA,safe
184,ANDHRA PRADESH,East Godavari,NIDADAVOLE,safe
185,ANDHRA PRADESH,East Godavari,PERAVALI,safe
186,ANDHRA PRADESH,East Godavari,RAJAHMUNDRY (URBAN),semi_critical
187,ANDHRA PRADESH,East Godavari,RAJAHMUNDRY RURAL,safe
188,ANDHRA PRADESH,East Godavari,RAJANAGARAM,semi_critical
189,ANDHRA PRADESH,East Godavari,RANGAMPETA,semi_critical
190,ANDHRA PRADESH,East Godavari,SEETHANAGARAM,safe
191,ANDHRA PRADESH,East Godavari,THALLAPUDI,safe
192,ANDHRA PRADESH,East Godavari,UNDRAJAVARAM,safe
193,ANDHRA PRADESH,Eluru,AGIRIPALLE,safe
194,ANDHRA PRADESH,Eluru,BHIMADOLE,safe
195,ANDHRA PRADESH,Eluru,BUTTAYAGUDEM,safe
196,ANDHRA PRADESH,Eluru,CHATRAI,safe
197,ANDHRA PRADESH,Eluru,CHINTALAPUDI,safe
198,ANDHRA PRADESH,Eluru,DENDULURU,safe
199,ANDHRA PRADESH,Eluru,DWARAKA TIRUMALA,safe
200,ANDHRA PRADESH,Eluru,ELURU,safe
201,ANDHRA PRADESH,Eluru,JANGAREDDIGUDEM,safe
202,ANDHRA PRADESH,Eluru,JEELUGUMILLI,safe
205,ANDHRA PRADESH,Eluru,KAMAVARAPUKOTA,safe
206,ANDHRA PRADESH,Eluru,KOYYALAGUDEM,safe
207,ANDHRA PRADESH,Eluru,KUKUNOOR,safe
208,ANDHRA PRADESH,Eluru,LINGAPALEM,safe
211,ANDHRA PRADESH,Eluru,MUSUNURU,safe
213,ANDHRA PRADESH,Eluru,NUZVID,safe
214,ANDHRA PRADESH,Eluru,PADAVEGI,safe
215,ANDHRA PRADESH,Eluru,PEDAPADU,safe
216,ANDHRA PRADESH,Eluru,POLAVARAM,safe
217,ANDHRA PRADESH,Eluru,T NARASAPURAM,safe
218,ANDHRA PRADESH,Eluru,UNGUTURU (WEST GODAVARI),safe
219,ANDHRA PRADESH,Eluru,VELAIRPAD,safe
220,ANDHRA PRADESH,Guntur,CHEBROLE,safe
221,ANDHRA PRADESH,Guntur,DUGGIRALA,safe
222,ANDHRA PRADESH,Guntur,GUNTUR EAST,safe
223,ANDHRA PRADESH,Guntur,GUNTUR WEST,safe
224,ANDHRA PRADESH,Guntur,KAKUMANU,safe
225,ANDHRA PRADESH,Guntur,KOLLIPARA,safe
226,ANDHRA PRADESH,Guntur,MANGALAGIRI,safe
227,ANDHRA PRADESH,Guntur,MEDIKONDURU,safe
228,ANDHRA PRADESH,Guntur,PEDAKAKANI,safe
230,ANDHRA PRADESH,Guntur,PHIRANGIPURAM,safe
231,ANDHRA PRADESH,Guntur,PONNUR,safe
232,ANDHRA PRADESH,Guntur,PRATHIPADU,safe
233,ANDHRA PRADESH,Guntur,TADIKONDA,safe
234,ANDHRA PRADESH,Guntur,TENALI,safe
235,ANDHRA PRADESH,Guntur,THADEPALLE,safe
236,ANDHRA PRADESH,Guntur,THULLUR,safe
238,ANDHRA PRADESH,Kakinada,GANDEPALLE,safe
239,ANDHRA PRADESH,Kakinada,GOLLAPROLU,safe
240,ANDHRA PRADESH,Kakinada,JAGGAMPETA,safe
241,ANDHRA PRADESH,Kakinada,KAJULURU,safe
242,ANDHRA PRADESH,Kakinada,KAKINADA (RURAL),safe
243,ANDHRA PRADESH,Kakinada,KAKINADA (URBAN),safe
245,ANDHRA PRADESH,Kakinada,KIRLAMPUDI,safe
246,ANDHRA PRADESH,Kakinada,KOTANANDURU,safe
247,ANDHRA PRADESH,Kakinada,KOTHAPALLEE,safe
248,ANDHRA PRADESH,Kakinada,PEDAPUDI,safe
249,ANDHRA PRADESH,Kakinada,PEDDAPURAM,safe
250,ANDHRA PRADESH,Kakinada,PITHAPURAM,safe
251,ANDHRA PRADESH,Kakinada,PRATHIPADU (EAST GODAVARI),safe
252,ANDHRA PRADESH,Kakinada,ROUTHULAPUDI,safe
253,ANDHRA PRADESH,Kakinada,SAMALKOTA,safe
254,ANDHRA PRADESH,Kakinada,SANKHAVARAM,safe
256,ANDHRA PRADESH,Kakinada,THONDANGI,safe
257,ANDHRA PRADESH,Kakinada,TUNI,safe
258,ANDHRA PRADESH,Kakinada,YELESWARAM,safe
259,ANDHRA PRADESH,Konaseema,AINAVILLI,safe
260,ANDHRA PRADESH,Konaseema,ALAMURU,safe
262,ANDHRA PRADESH,Konaseema,AMALAPURAM,safe
263,ANDHRA PRADESH,Konaseema,AMBAJIPETA,safe
264,ANDHRA PRADESH,Konaseema,ATREYAPURAM,safe
266,ANDHRA PRADESH,Konaseema,KAPILESWARAPURAM,safe
268,ANDHRA PRADESH,Konaseema,KOTHAPETA,safe
271,ANDHRA PRADESH,Konaseema,MANDAPETA,safe
272,ANDHRA PRADESH,Konaseema,MUMMIDIVARAM,safe
273,ANDHRA PRADESH,Konaseema,P GANNAVARAM,safe
274,ANDHRA PRADESH,Konaseema,PAMARRU (EAST GODAVARI),safe
275,ANDHRA PRADESH,Konaseema,RAMACHANDRAPURAM,safe
276,ANDHRA PRADESH,Konaseema,RAVULAPALEM,safe
277,ANDHRA PRADESH,Konaseema,RAYAVARAM,safe
278,ANDHRA PRADESH,Konaseema,RAZOLE,safe
281,ANDHRA PRADESH,Krishna,AVANIGADA,safe
283,ANDHRA PRADESH,Krishna,BAPULAPAD,safe
284,ANDHRA PRADESH,Krishna,CHALLAPALLE,safe
285,ANDHRA PRADESH,Krishna,GANNAVARAM,safe
286,ANDHRA PRADESH,Krishna,GHANTASALA,safe
287,ANDHRA PRADESH,Krishna,GUDIVADA,safe
290,ANDHRA PRADESH,Krishna,KANKIPADU,safe
294,ANDHRA PRADESH,Krishna,MOPIDEVI,safe
295,ANDHRA PRADESH,Krishna,MOVVA,safe
298,ANDHRA PRADESH,Krishna,PAMARRU,safe
299,ANDHRA PRADESH,Krishna,PAMIDIMUKKALA,safe
301,ANDHRA PRADESH,Krishna,PEDAPARUPUDI,safe
302,ANDHRA PRADESH,Krishna,PENAMALURU,safe
303,ANDHRA PRADESH,Krishna,THOTLAVALLURU,safe
304,ANDHRA PRADESH,Krishna,UNGUTURU,safe
305,ANDHRA PRADESH,Krishna,VUYYURU,safe
306,ANDHRA PRADESH,Kurnool,ADONI,safe
307,ANDHRA PRADESH,Kurnool,ALUR,safe
308,ANDHRA PRADESH,Kurnool,ASPARI,safe
309,ANDHRA PRADESH,Kurnool,C BELAGAL,safe
310,ANDHRA PRADESH,Kurnool,CHIPPAGIRI,safe
311,ANDHRA PRADESH,Kurnool,DEVANAKONDA,safe
312,ANDHRA PRADESH,Kurnool,GONEGANDLA,safe
313,ANDHRA PRADESH,Kurnool,GUDUR (KURNOOL),safe
314,ANDHRA PRADESH,Kurnool,HALAHARVI,safe
315,ANDHRA PRADESH,Kurnool,HOLAGUNDA,safe
316,ANDHRA PRADESH,Kurnool,KALLUR,safe
317,ANDHRA PRADESH,Kurnool,KODUMUR,safe
318,ANDHRA PRADESH,Kurnool,KOSIGI,safe
319,ANDHRA PRADESH,Kurnool,KOWTHALAM,safe
320,ANDHRA PRADESH,Kurnool,KRISHNAGIRI,safe
321,ANDHRA PRADESH,Kurnool,KURNOOL RURAL,safe
322,ANDHRA PRADESH,Kurnool,KURNOOL URBAN,safe
323,ANDHRA PRADESH,Kurnool,MADDIKERA EAST,safe
324,ANDHRA PRADESH,Kurnool,MANTRALAYAM,safe
325,ANDHRA PRADESH,Kurnool,NANDAVARAM,safe
326,ANDHRA PRADESH,Kurnool,ORVAKAL,safe
327,ANDHRA PRADESH,Kurnool,PATTIKANDA,safe
328,ANDHRA PRADESH,Kurnool,PEDDA KADUBUR,safe
329,ANDHRA PRADESH,Kurnool,TUGGALI,safe
330,ANDHRA PRADESH,Kurnool,VELDURTHI (KURNOOL),safe
331,ANDHRA PRADESH,Kurnool,YEMMIGANUR,safe
332,ANDHRA PRADESH,Nandyal,ALLAGADDA,safe
333,ANDHRA PRADESH,Nandyal,ATMAKUR (KURNOOL),safe
334,ANDHRA PRADESH,Nandyal,BANAGANAPALLE,safe
335,ANDHRA PRADESH,Nandyal,BANDI ATMAKUR,safe
336,ANDHRA PRADESH,Nandyal,BETHAMCHERLA,safe
337,ANDHRA PRADESH,Nandyal,CHAGALAMARRI,safe
338,ANDHRA PRADESH,Nandyal,DHONE,safe
339,ANDHRA PRADESH,Nandyal,DORNIPADU,safe
340,ANDHRA PRADESH,Nandyal,GADIVEMULA,safe
341,ANDHRA PRADESH,Nandyal,GOSPADU,safe
342,ANDHRA PRADESH,Nandyal,JUPADU BUNGALOW,safe
343,ANDHRA PRADESH,Nandyal,KOILKUNTLA,safe
344,ANDHRA PRADESH,Nandyal,KOLIMIGUNDLA,safe
345,ANDHRA PRADESH,Nandyal,KOTHAPALLE,safe
346,ANDHRA PRADESH,Nandyal,MAHANANDI,safe
347,ANDHRA PRADESH,Nandyal,MIDTHUR,safe
348,ANDHRA PRADESH,Nandyal,NANDI KOTKUR,safe
349,ANDHRA PRADESH,Nandyal,NANDYAL,safe
350,ANDHRA PRADESH,Nandyal,OWK,safe
351,ANDHRA PRADESH,Nandyal,PAGIDYALA,safe
352,ANDHRA PRADESH,Nandyal,PAMULAPADU,safe
353,ANDHRA PRADESH,Nandyal,PANYAM,safe
354,ANDHRA PRADESH,Nandyal,PEAPALLY,safe
355,ANDHRA PRADESH,Nandyal,RUDRAVARAM,safe
356,ANDHRA PRADESH,Nandyal,SANJAMALA,safe
357,ANDHRA PRADESH,Nandyal,SIRVEL,safe
358,ANDHRA PRADESH,Nandyal,SRISAILAM,safe
359,ANDHRA PRADESH,Nandyal,UYYALAWADA,safe
360,ANDHRA PRADESH,Nandyal,VELGODE,safe
361,ANDHRA PRADESH,NTR,A KONDURU,safe
362,ANDHRA PRADESH,NTR,CHANDARLAPADU,safe
363,ANDHRA PRADESH,NTR,G KONDURU,safe
364,ANDHRA PRADESH,NTR,GAMPALAGUDEM,safe
365,ANDHRA PRADESH,NTR,IBRAHIMPATNAM,safe
366,ANDHRA PRADESH,NTR,JAGGAYYAPETA,safe
367,ANDHRA PRADESH,NTR,KANCHIKA CHERLA,safe
368,ANDHRA PRADESH,NTR,MYLAVARAM (KRISHNA),safe
369,ANDHRA PRADESH,NTR,NANDIGAMA,safe
370,ANDHRA PRADESH,NTR,PENUGANCHIPROLU,safe
371,ANDHRA PRADESH,NTR,REDDIGUDEM,safe
372,ANDHRA PRADESH,NTR,TIRUVURU,safe
373,ANDHRA PRADESH,NTR,VATSAVAI,safe
374,ANDHRA PRADESH,NTR,VEERULLAPADU,safe
375,ANDHRA PRADESH,NTR,VIJAYAWADA CENTRAL,safe
376,ANDHRA PRADESH,NTR,VIJAYAWADA EAST,safe
377,ANDHRA PRADESH,NTR,VIJAYAWADA NORTH,safe
378,ANDHRA PRADESH,NTR,VIJAYAWADA RURAL,safe
379,ANDHRA PRADESH,NTR,VIJAYAWADA WEST,safe
380,ANDHRA PRADESH,NTR,VISSANNAPET,safe
381,ANDHRA PRADESH,Palnadu,ACHAMPETA,semi_critical
382,ANDHRA PRADESH,Palnadu,AMARAVATHI,safe
383,ANDHRA PRADESH,Palnadu,BELLAMKONDA,safe
384,ANDHRA PRADESH,Palnadu,BOLLAPALLE,over_exploited
385,ANDHRA PRADESH,Palnadu,CHILAKALURIPET,safe
386,ANDHRA PRADESH,Palnadu,DACHEPALLE,safe
387,ANDHRA PRADESH,Palnadu,DURGI,over_exploited
388,ANDHRA PRADESH,Palnadu,EDLAPADU,safe
389,ANDHRA PRADESH,Palnadu,GURAZALA,safe
390,ANDHRA PRADESH,Palnadu,IPURU,safe
391,ANDHRA PRADESH,Palnadu,KAREMPUDI,safe
392,ANDHRA PRADESH,Palnadu,KROSURU,safe
393,ANDHRA PRADESH,Palnadu,MACHAVARAM,safe
394,ANDHRA PRADESH,Palnadu,MACHERLA,safe
395,ANDHRA PRADESH,Palnadu,MUPPALLA,safe
396,ANDHRA PRADESH,Palnadu,NADENDLA,safe
397,ANDHRA PRADESH,Palnadu,NAKARIKALLU,safe
398,ANDHRA PRADESH,Palnadu,NARASARAOPETA,safe
399,ANDHRA PRADESH,Palnadu,NUZENDLA,safe
400,ANDHRA PRADESH,Palnadu,PEDAKURAPADU,safe
401,ANDHRA PRADESH,Palnadu,PIDUGURALLA,safe
402,ANDHRA PRADESH,Palnadu,RAJUPALEM,safe
403,ANDHRA PRADESH,Palnadu,RENTACHINTALA,safe
404,ANDHRA PRADESH,Palnadu,ROMPICHERLA (GUNTUR),safe
405,ANDHRA PRADESH,Palnadu,SATTENAPALLE,safe
406,ANDHRA PRADESH,Palnadu,SAVALYAPURAM,safe
407,ANDHRA PRADESH,Palnadu,VELDURTHI,over_exploited
408,ANDHRA PRADESH,Palnadu,VINUKONDA,safe
409,ANDHRA PRADESH,Parvathipuram Manyam,BALIJIPETA,safe
410,ANDHRA PRADESH,Parvathipuram Manyam,BHAMINI,safe
411,ANDHRA PRADESH,Parvathipuram Manyam,GARUGUBILLI,safe
412,ANDHRA PRADESH,Parvathipuram Manyam,GUMMALAKSHMIPURAM,safe
413,ANDHRA PRADESH,Parvathipuram Manyam,JIYYAMMA VALASA,safe
414,ANDHRA PRADESH,Parvathipuram Manyam,KOMARADA,safe
415,ANDHRA PRADESH,Parvathipuram Manyam,KURUPAM,safe
416,ANDHRA PRADESH,Parvathipuram Manyam,MAKKUVA,safe
417,ANDHRA PRADESH,Parvathipuram Manyam,PACHIPENTA,safe
418,ANDHRA PRADESH,Parvathipuram Manyam,PALAKONDA,safe
419,ANDHRA PRADESH,Parvathipuram Manyam,PARVATHIPURAM,safe
420,ANDHRA PRADESH,Parvathipuram Manyam,SALUR,safe
421,ANDHRA PRADESH,Parvathipuram Manyam,SEETHAMPETA,safe
422,ANDHRA PRADESH,Parvathipuram Manyam,SEETHANAGARAM (MANYAM),safe
423,ANDHRA PRADESH,Parvathipuram Manyam,VEERAGHATTAM,safe
424,ANDHRA PRADESH,Prakasam,ARDHAVEEDU,safe
425,ANDHRA PRADESH,Prakasam,BESTAVARIPETA,safe
426,ANDHRA PRADESH,Prakasam,CHADRASEKARAPURAM,safe
427,ANDHRA PRADESH,Prakasam,CHIMAKURTHI,safe
428,ANDHRA PRADESH,Prakasam,CUMBUM,semi_critical
429,ANDHRA PRADESH,Prakasam,DARSI,safe
430,ANDHRA PRADESH,Prakasam,DONAKONDA,safe
431,ANDHRA PRADESH,Prakasam,DORNALA,safe
432,ANDHRA PRADESH,Prakasam,GIDDALURU,semi_critical
433,ANDHRA PRADESH,Prakasam,HANUMANTHUNIPADU,safe
434,ANDHRA PRADESH,Prakasam,KANIGIRI,safe
435,ANDHRA PRADESH,Prakasam,KOMAROLU,safe
436,ANDHRA PRADESH,Prakasam,KONAKANAMITLA,safe
437,ANDHRA PRADESH,Prakasam,KONDAPI,safe
438,ANDHRA PRADESH,Prakasam,KOTHAPATNAM,safe
439,ANDHRA PRADESH,Prakasam,KURICHEDU,safe
440,ANDHRA PRADESH,Prakasam,MADDIPADU,safe
